prot_IDs	usage
prot_M7WCH0_exchange	0
prot_M7WD54_exchange	0
prot_M7WD99_exchange	0.0917280021791054
prot_M7WDC1_exchange	0.0221657647387229
prot_M7WDH6_exchange	0.0439684254267263
prot_M7WDP6_exchange	0
prot_M7WEG7_exchange	0.00896462751809656
prot_M7WEJ4_exchange	0
prot_M7WEV1_exchange	0
prot_M7WFJ0_exchange	0.144570089800515
prot_M7WFK5_exchange	0
prot_M7WFL8_exchange	0
prot_M7WFU6_exchange	0
prot_M7WG58_exchange	0.00552517484029558
prot_M7WGA7_exchange	0.183460023017863
prot_M7WH87_exchange	0
prot_M7WHA9_exchange	0
prot_M7WHB3_exchange	0
prot_M7WHC9_exchange	0
prot_M7WHN9_exchange	0
prot_M7WHV7_exchange	0.0157621395488112
prot_M7WI20_exchange	0.0917280021791054
prot_M7WI54_exchange	0
prot_M7WI96_exchange	0.00632606962378339
prot_M7WIG9_exchange	0.0285874807253786
prot_M7WIR6_exchange	0
prot_M7WJ06_exchange	0
prot_M7WJ30_exchange	0
prot_M7WJI1_exchange	0.253962573824782
prot_M7WJN6_exchange	0
prot_M7WK31_exchange	0.0171708662852651
prot_M7WK50_exchange	0
prot_M7WKC4_exchange	0.0293848218324951
prot_M7WKF8_exchange	0.0621551424600332
prot_M7WKI7_exchange	0.000132948807133149
prot_M7WKL7_exchange	0
prot_M7WKR4_exchange	0.0668241229336786
prot_M7WKV3_exchange	0
prot_M7WKX0_exchange	0.602534186308504
prot_M7WKZ4_exchange	0.0560391997897911
prot_M7WL18_exchange	0.19876552360882
prot_M7WL19_exchange	0
prot_M7WL24_exchange	0.1829120344753
prot_M7WL95_exchange	0.0139357792874945
prot_M7WLD5_exchange	0.041964516341028
prot_M7WLI2_exchange	4.48967113273567e-05
prot_M7WLP6_exchange	0
prot_M7WLQ0_exchange	0
prot_M7WLR9_exchange	0
prot_M7WLS9_exchange	0
prot_M7WLV7_exchange	0
prot_M7WLX6_exchange	0
prot_M7WM30_exchange	0.130233118983284
prot_M7WMC4_exchange	0
prot_M7WMD7_exchange	0
prot_M7WME7_exchange	0.0012253983855295
prot_M7WMF3_exchange	0
prot_M7WMJ7_exchange	0.0917280021791054
prot_M7WMR9_exchange	0
prot_M7WMS7_exchange	0
prot_M7WMT2_exchange	1
prot_M7WMU5_exchange	0.0215767552737233
prot_M7WMY0_exchange	0.0126182021883414
prot_M7WN54_exchange	0.0782632130406893
prot_M7WN91_exchange	0
prot_M7WN97_exchange	0.0116616302554187
prot_M7WNB5_exchange	1
prot_M7WNN8_exchange	0.000619065218415231
prot_M7WNN9_exchange	0.119964825403168
prot_M7WNZ9_exchange	0.019390349854143
prot_M7WP35_exchange	0.298537396463864
prot_M7WP44_exchange	0.0972029982839963
prot_M7WP55_exchange	0
prot_M7WPA0_exchange	0
prot_M7WPA9_exchange	0
prot_M7WPB7_exchange	0
prot_M7WPU4_exchange	0
prot_M7WPW0_exchange	0.0544168954372892
prot_M7WQ32_exchange	0.0142361798022768
prot_M7WQ73_exchange	1
prot_M7WQ86_exchange	0.000279581494200981
prot_M7WQ90_exchange	0.00264568264807958
prot_M7WQ95_exchange	0
prot_M7WQC9_exchange	0.000516533310311983
prot_M7WQF1_exchange	0
prot_M7WQN8_exchange	0.0175128982594434
prot_M7WR01_exchange	0.00514066362053287
prot_M7WR40_exchange	0.0642881536689629
prot_M7WRD1_exchange	0.546763615931485
prot_M7WRH3_exchange	0
prot_M7WRR3_exchange	0
prot_M7WRW9_exchange	0
prot_M7WRY8_exchange	0
prot_M7WS17_exchange	0
prot_M7WS33_exchange	0.0212522218694633
prot_M7WS38_exchange	0
prot_M7WS43_exchange	0
prot_M7WS89_exchange	1
prot_M7WSB2_exchange	0.0239526047931064
prot_M7WSE0_exchange	0
